id;i_18_n;title;ingress;body;caption;visibility;fragment_id
1;"en";cross-media;Grocery;../fake-data/blob/hipster.txt;Home Coordinator Avon;ROLE_ANONYMOUS;1
2;"en";blue SQL;deposit Dynamic;../fake-data/blob/hipster.txt;Producer Montenegro;ROLE_ANONYMOUS;2
3;"en";Small Rubber Fish Solomon Islands Dollar transmit;Sports Rubber;../fake-data/blob/hipster.txt;withdrawal Books;ROLE_ANONYMOUS;3
4;"en";Centers;utilize;../fake-data/blob/hipster.txt;Personal Loan Account Open-source Investment Account;ROLE_ANONYMOUS;4
5;"en";Money Market Account;Research Tasty Parkways;../fake-data/blob/hipster.txt;transmit;ROLE_ANONYMOUS;5
6;"en";Frozen;sensor Chair;../fake-data/blob/hipster.txt;Awesome;ROLE_ANONYMOUS;6
7;"en";Coordinator utilize Berkshire;card Alabama;../fake-data/blob/hipster.txt;leverage Data Streamlined;ROLE_ANONYMOUS;7
8;"en";Coordinator;Fiji Tenge SMTP;../fake-data/blob/hipster.txt;Puerto Rico;ROLE_USER;8
9;"en";target;calculate payment synergistic;../fake-data/blob/hipster.txt;bus Palestinian Territory Corner;ROLE_USER;9
10;"en";Tuna system engine Avon;Auto Loan Account SDD Fantastic;../fake-data/blob/hipster.txt;Human programming;ROLE_ADMIN;10
